0.002,-1.831e-5,-0.018,-9.157,0.018,9.192,-1.602e-6,0,1.602e-6,180,0.002,0.801,28.61,-80.6,9.792,85.228,0,0,0,5.333e4,9330,63.508,0.212,NaN,268.051,NaN,0.014,1.396e6,30,2.835e-4,0.536,7.406e-4,0.413,0.049,0.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.357e-6,19.4,295.592,85,0,4.6,15,1013.25,340.389,0.002,0.004
0.004,-1.607e-5,-0.016,-8.037,0.016,8.067,-1.406e-6,0,1.406e-6,180,0.001,0.703,28.61,-80.6,9.792,85.2,0,0,0,5.333e4,9330,63.508,0.212,NaN,268.051,NaN,0.014,1.4e6,90,2.9e-4,0.536,7.534e-4,0.413,0.049,0.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.068e-6,19.4,295.592,85,0,4.612,15,1013.25,340.389,0.002,0.005
0.006,-1.383e-5,-0.014,-6.916,0.014,6.942,-1.21e-6,0,1.21e-6,180,0.001,0.605,28.61,-80.6,9.792,85.171,0,0,0,5.333e4,9330,63.508,0.212,NaN,268.051,NaN,0.014,1.404e6,150,2.965e-4,0.536,7.662e-4,0.413,0.049,0.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.78e-6,19.4,295.592,85,0,4.624,15,1013.25,340.389,0.002,0.006
0.008,-1.159e-5,-0.012,-5.795,0.012,5.817,-1.014e-6,0,1.014e-6,180,0.001,0.507,28.61,-80.6,9.792,85.143,0,0,0,5.333e4,9330,63.508,0.212,NaN,268.051,NaN,0.014,1.408e6,210,3.031e-4,0.536,7.792e-4,0.413,0.049,0.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.491e-6,19.4,295.592,85,0,4.636,15,1013.25,340.389,0.002,0.007
0.01,-9.349e-6,-0.009,-4.675,0.009,4.692,-8.179e-7,0,8.179e-7,180,8.179e-4,0.409,28.61,-80.6,9.792,85.115,0,0,0,5.333e4,9330,63.508,0.212,NaN,268.051,NaN,0.014,1.411e6,270,3.098e-4,0.535,7.922e-4,0.413,0.049,0.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.203e-6,19.4,295.592,85,0,4.648,15,1013.25,340.389,0.002,0.007
0.012,-7.108e-6,-0.007,-3.554,0.007,3.567,-6.218e-7,0,6.218e-7,180,6.218e-4,0.311,28.61,-80.6,9.792,85.087,0,0,0,5.333e4,9330,63.508,0.212,NaN,268.051,NaN,0.014,1.415e6,330,3.165e-4,0.535,8.053e-4,0.412,0.049,0.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.145e-7,19.4,295.592,85,0,4.66,15,1013.25,340.389,0.002,0.008
0.014,-4.866e-6,-0.005,-2.433,0.005,2.442,-4.257e-7,0,4.257e-7,180,4.257e-4,0.213,28.61,-80.6,9.792,85.06,0,0,0,5.333e4,9330,63.508,0.212,NaN,268.051,NaN,0.014,1.419e6,390,3.234e-4,0.535,8.184e-4,0.412,0.049,0.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.261e-7,19.4,295.592,85,0,4.672,15,1013.25,340.389,0.002,0.009
0.016,-2.625e-6,-0.003,-1.312,0.003,1.317,-2.296e-7,0,2.296e-7,180,2.296e-4,0.115,28.61,-80.6,9.792,85.032,0,0,0,5.333e4,9330,63.508,0.212,NaN,268.051,NaN,0.014,1.422e6,450,3.303e-4,0.535,8.316e-4,0.412,0.049,0.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.377e-7,19.4,295.592,85,0,4.684,15,1013.25,340.389,0.002,0.01
0.018,-3.834e-7,-3.834e-4,-0.192,3.848e-4,0.192,-3.354e-8,0,3.354e-8,180,3.354e-5,0.017,28.61,-80.6,9.792,85.005,0,0,0,5.333e4,9330,63.508,0.212,NaN,268.051,NaN,0.014,1.426e6,510,3.373e-4,0.535,8.449e-4,0.412,0.049,0.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.933e-8,19.4,295.592,85,0,4.696,15,1013.25,340.389,0.002,0.011
0.02,1.858e-6,0.002,0.929,0.002,0.933,1.626e-7,0,1.626e-7,0,1.626e-4,0.081,28.61,-80.6,9.792,84.977,0,0,0,5.333e4,9330,63.508,0.212,NaN,268.051,NaN,0.014,1.43e6,570,3.444e-4,0.534,8.583e-4,0.412,0.049,0.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.391e-7,19.4,295.592,85,0,4.708,15,1013.25,340.389,0.002,0.011
0.022,9.674e-6,0.006,2.05,0.006,2.058,8.463e-7,0,8.463e-7,0,5.212e-4,0.179,28.61,-80.6,9.792,84.928,0,0,0,5.333e4,9330,63.508,0.212,NaN,268.051,NaN,0.014,1.433e6,630,3.563e-4,0.534,8.832e-4,0.411,0.049,0.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.666e-7,19.4,295.592,85,0,4.72,15,1013.25,340.389,0.002,0.012
0.024,2.793e-5,0.012,3.17,0.012,3.183,2.444e-6,0,2.444e-6,0,0.001,0.277,28.61,-80.6,9.792,84.851,0,0,0,5.333e4,9330,63.508,0.212,NaN,268.051,NaN,0.014,1.437e6,690,3.742e-4,0.534,9.226e-4,0.411,0.049,0.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.582e-6,19.4,295.592,85,0,4.732,15,1013.25,340.389,0.002,0.013
